id,ISO 3166-1 alpha-3,historical,en,ru
rwa,RWA,0,Rwanda,Руанда
sau,SAU,0,Saudi Arabia,Саудовская Аравия
sdn,SDN,0,Sudan,Судан
ssd,,0,South Sudan,Южный Судан
sen,SEN,0,Senegal,Сенегал
sgp,SGP,0,Singapore,Сингапур
sgs,SGS,0,South Georgia and the South Sandwich Islands,Южная Георгия и Южные Сандвичевы острова
shn,SHN,0,"Saint Helena, Ascension and Tristan da Cunha",Остров Святой Елены
sjm,SJM,0,Svalbard and Jan Mayen,Шпицберген и Ян-Майен
slb,SLB,0,Solomon Islands,Соломоновы Острова
sle,SLE,0,Sierra Leone,Сьерра-Леоне
slv,SLV,0,El Salvador,Сальвадор
smr,SMR,0,San Marino,Сан-Марино
som,SOM,0,Somalia,Сомали
sos,,0,South Ossetia,Южная Осетия
spm,SPM,0,Saint Pierre and Miquelon,Сен-Пьер и Микелон
srb,SRB,0,Serbia,Сербия
stp,STP,0,Sao Tome and Principe,Сан-Томе и Принсипи
sur,SUR,0,Suriname,Суринам
svk,SVK,0,Slovakia,Словакия
svn,SVN,0,Slovenia,Словения
swe,SWE,0,Sweden,Швеция
swz,SWZ,0,Swaziland,Свазиленд
syc,SYC,0,Seychelles,Сейшельские Острова
syr,SYR,0,Syrian Arab Republic,Сирия
tca,TCA,0,Turks and Caicos Islands,Тёркс и Кайкос
tcd,TCD,0,Chad,Чад
tgo,TGO,0,Togo,Того
tha,THA,0,Thailand,Таиланд
tjk,TJK,0,Tajikistan,Таджикистан
tkl,TKL,0,Tokelau,Токелау
tkm,TKM,0,Turkmenistan,Туркмения
tls,TLS,0,Timor-Leste,Восточный Тимор
ton,TON,0,Tonga,Тонга
tto,TTO,0,Trinidad and Tobago,Тринидад и Тобаго
tun,TUN,0,Tunisia,Тунис
tur,TUR,0,Turkey,Турция
tuv,TUV,0,Tuvalu,Тувалу
twn,TWN,0,Taiwan,Китайская Республика
tza,TZA,0,Tanzania,Танзания
uga,UGA,0,Uganda,Уганда
ukr,UKR,0,Ukraine,Украина
umi,UMI,0,United States Minor Outlying Islands,Внешние малые острова (США)
ury,URY,0,Uruguay,Уругвай
usa,USA,0,United States,США
uzb,UZB,0,Uzbekistan,Узбекистан
vat,VAT,0,Vatican,Ватикан
vct,VCT,0,Saint Vincent and the Grenadines,Сент-Винсент и Гренадины
ven,VEN,0,Venezuela,Венесуэла
vgb,VGB,0,Virgin Islands (British),Британские Виргинские острова
vir,VIR,0,Virgin Islands (U.S.),Американские Виргинские острова
vnm,VNM,0,Vietnam,Вьетнам
vut,VUT,0,Vanuatu,Вануату
wlf,WLF,0,Wallis and Futuna,Уоллис и Футуна
wsm,WSM,0,Samoa,Самоа
yem,YEM,0,Yemen,Йемен
zaf,ZAF,0,South Africa,ЮАР
zmb,ZMB,0,Zambia,Замбия
zwe,ZWE,0,Zimbabwe,Зимбабве
xah,,1,Achaemenid Empire,Держава Ахеменидов
xan,,1,Anatolia,Анатолия
xas,,1,Assyria,Ассирия
xba,,1,Babylonia,Вавилония
xbc,,1,Bactria,Бактрия
xel,,1,Elam,Элам
xgl,,1,Gaul,Галлия
xgh,,1,Golden Horde,Золотая Орда
xgm,,1,Great Moravia,Великая Моравия
xep,,1,Hephthalite Empire,Государство Эфталитов
xhr,,1,Khwarazm (Chorasmia),Хорезм
xks,,1,Kushan Empire,Кушанское царство
xlc,,1,Lycia,Ликия
xld,,1,Lydia,Лидия
xmd,,1,Media,Мидия
xmt,,1,Mitanni,Митанни
xpt,,1,Parthian Empire,Парфянское царство
xph,,1,Phrygian Empire,Фригийское царство
xpr,,1,Prussia,Пруссия
xss,,1,Sasanian Empire,Государство Сасанидов
xtm,,1,Timurid Empire,Империя Тимуридов
xug,,1,Ugarit,Угарит
xvb,,1,Volga Bulgaria,Волжская Булгария
xgb,,1,Great Bulgaria,Великая Болгария
xjn,,1,Jin Empire,Империя Цзинь
xqn,,1,Qin Empire,Империя Цинь
xqg,,1,Qing Empire,Империя Цин
xjd,,1,Kingdom of Judah,Иудейское царство
xrm,,1,Roman Empire,Римская империя
xur,,1,Urartu,Урарту
xyg,,1,Yugoslavia,Югославия
xrs,,1,Kievan Rus',Киевская Русь
