feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
B-7,Контурные признаки тона,,,,,,
B-8,Носитель тона,,,,,,
B-9,Характер долготы,,,,,,
B-10,Область гармонического уподобления гласных,,,,,,
B-11,Признак гармонического уподобления гласных,,,,,,
B-12,Уподобляющий элемент при гармоническом уподоблении гласных,,,,,,
B-13,Прочие супрасегментные явления,,,,,,
B-14,Типы фонации,,,,,,
C-1,Начальный согласный в слоге,,,,,,
C-2,Конечный согласный в слоге,,,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,,,,,,
D-3,Особенности слогового состава слова,,,,,,
D-4,Различия между знаменательными и служебными словами,,,,,,
D-5,Различия между исконными и заимствованными словами,,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,,,,,,
D-7,Функциональный тип чередований,,,,,,
D-8,Вид чередований,,,,,,
E-1,Тип языка по способу соединения морфем в слове,,,,,,
E-2,Признаки флективного строя,,,,,,
E-3,Признаки агглютинативного строя,,,,,,
E-4,Тип языка по степени спаянности морфем,,,,,,
F-1,Количество согласовательных классов,,,,,,
F-2,Морфологические способы выражения согласовательных классов,,,,,,
F-3,Синтаксические способы выражения согласовательных классов,,,,,,
F-4,Другие способы выражения согласовательных классов,,,,,,
F-5,Атрибутивное согласование по роду,,,,,,
F-6,Согласование количественных числительных в роде,,,,,,
F-7,Классифицирующие категории существительных,,,,,,
F-8,Противопоставление по личности/неличности,,,,,,
F-9,Способ выражения одушевленности/неодушевленности,,,,,,
G-1,Категория числа у существительных,,,,,,
G-2,Маркирование единственного числа существительных,,,,,,
G-3,Формы вежливости в местоимениях и глаголах,,,,,,
G-4,Согласование по числу,,,,,,
G-5,Форма числа существительного в сочетании с числительными,,,,,,
G-6,Система счисления,,,,,,
H-1,Количество падежей у имени существительного,,,,,,
H-2,Маркирование субъекта и объекта,,,,,,
H-3,Падежное оформление именного сказуемого,,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,,,,,,
H-5,Другие способы оформления посессивного отношения,,,,,,
H-6,Способ выражения пространственных отношений,,,,,,
H-7,Маркирование в посессивной конструкции,,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,,,,,,
H-9,Наличие вторичных падежей,,,,,,
I-1,Способ выражения залоговых форм в глаголе,,,,,,
I-2,Возможность наложения нескольких залоговых форм,,,,,,
I-3,Двойные залоговые формы,,,,,,
I-4,Совпадение залоговых форм,,,,,,
I-5,Грамматические формы времени,,,,,,
I-6,Выражение вида и времени,,,,,,
I-7,Способ выражения временных категорий,,,,,,
I-8,Синкретическое выражение нескольких глагольных значений,,,,,,
I-9,Маркирование лица в глаголе в настоящем времени,,,,,,
I-10,Маркер переходности,,,,,,
J-1,Наличие местоименных слов,,,,,,
J-2,Способы выражения дейктических категорий,,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",,,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",,,,,,
J-5,Морфологическое выражение определенности/неопределенности имени,,,,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",,,,,,
J-7,Способы выражения форм вежливости,,,,,,
J-8,Способы выражения отрицания,,,,,,
J-9,Позиция показателя отрицания,,,,,,
K-1,Склонение личных местоимений,,,,,,
K-2,Типы артиклей,,,,,,
K-3,Неопределенный артикль и числительное «один»,,,,,,
K-4,Расположение артикля,,,,,,
K-5,Постановка артикля в именной группе,,,,,,
K-6,"Грамматические категории, выражаемые артиклем",,,,,,
K-7,Количество типов спряжения глаголов,,,,,,
K-8,Типы глагольного согласования,,,,,,
K-9,"Согласовательные категории, выражаемые причастием",,,,,,
K-10,"Время, выражаемое причастием",,,,,,
K-11,"Грамматические категории, выражаемые наречием",,,,,,
K-12,"Согласовательные категории, выражаемые прилагательным",,,,,,
K-13,Возможность кумулятивного выражения нескольких категорий в прилагательном,,,,,,
K-14,Атрибутивное согласование прилагательных,,,,,,
K-15,Типы атрибутивного согласования,,,,,,
K-16,"Изменяемые грамматические категории, выражаемые существительным",,,,,,
K-17,Кумулятивное выражение нескольких категорий в существительном,,,,,,
K-18,Средства словоизменения,,,,,,
K-19,Модель словоформы,,,,,,
L-1,Способы словообразования,,,,,,
L-2,"Аффиксы, участвующие в словообразовании",,,,,,
L-3,Отношения между соединяемыми основами при сложении основ,,,,,,
M-1,Стратегия кодирования глагольных актантов,,,,,,
M-2,Фиксированность порядка слов,,,,,,
M-3,Основной порядок слов в предложении,,,,,,
M-4,Порядок определения и определяемого,,,,,,
M-5,Опущение местоименного подлежащего в неэллиптических предложениях,,,,,,
N-1,Линейный порядок компонентов в сложном предложении,,,,,,
N-2,Особенности подчиненного компонента в сложном предложении,,,,,,
N-3,Оформление сказуемого в придаточном предложении,,,,,,
N-4,Тип построения сложного предложения,,,,,,
N-5,Тип связи между элементами сложного предложения,,,,,,
_aux,,not_applicable,,,А.А. Самсонова,,
