feature_id,feature_name_ru,value_type,value_id,value_ru,comment_ru,comment_en,page_numbers
B-13,Прочие супрасегментные явления,explicit_gap,,,,,
B-14,Типы фонации,explicit_gap,,,,,
C-1,Начальный согласный в слоге,explicit_gap,,,,,
C-2,Конечный согласный в слоге,explicit_gap,,,,,
D-1,Ограничения на фонемную структуру сегментных морфем в начальной позиции,explicit_gap,,,,,
D-2,Ограничения на фонемную структуру сегментных морфем в конечной позиции,explicit_gap,,,,,
D-3,Особенности слогового состава слова,explicit_gap,,,,,
D-4,Различия между знаменательными и служебными словами,explicit_gap,,,,,
D-5,Различия между исконными и заимствованными словами,explicit_gap,,,,,
D-6,Различия между корневыми и аффиксальными морфемами,explicit_gap,,,,,
D-7,Функциональный тип чередований,explicit_gap,,,,,
D-8,Вид чередований,explicit_gap,,,,,
E-1,Тип языка по способу соединения морфем в слове,explicit_gap,,,,,
E-2,Признаки флективного строя,explicit_gap,,,,,
E-3,Признаки агглютинативного строя,explicit_gap,,,,,
E-4,Тип языка по степени спаянности морфем,explicit_gap,,,,,
F-1,Количество согласовательных классов,explicit_gap,,,,,
F-2,Морфологические способы выражения согласовательных классов,explicit_gap,,,,,
F-3,Синтаксические способы выражения согласовательных классов,explicit_gap,,,,,
F-4,Другие способы выражения согласовательных классов,explicit_gap,,,,,
F-5,Атрибутивное согласование по роду,explicit_gap,,,,,
F-6,Согласование количественных числительных в роде,explicit_gap,,,,,
F-7,Классифицирующие категории существительных,explicit_gap,,,,,
F-8,Противопоставление по личности/неличности,explicit_gap,,,,,
F-9,Способ выражения одушевленности/неодушевленности,explicit_gap,,,,,
G-1,Категория числа у существительных,explicit_gap,,,,,
G-2,Маркирование единственного числа существительных,explicit_gap,,,,,
G-3,Формы вежливости в местоимениях и глаголах,explicit_gap,,,,,
G-4,Согласование по числу,explicit_gap,,,,,
G-5,Форма числа существительного в сочетании с числительными,explicit_gap,,,,,
G-6,Система счисления,explicit_gap,,,,,
H-1,Количество падежей у имени существительного,explicit_gap,,,,,
H-2,Маркирование субъекта и объекта,explicit_gap,,,,,
H-3,Падежное оформление именного сказуемого,explicit_gap,,,,,
H-4,Падежное оформление посессивного отношения в именной группе,explicit_gap,,,,,
H-5,Другие способы оформления посессивного отношения,explicit_gap,,,,,
H-6,Способ выражения пространственных отношений,explicit_gap,,,,,
H-7,Маркирование в посессивной конструкции,explicit_gap,,,,,
H-8,Падежное оформление одушевленных и неодушевленных имен существительных,explicit_gap,,,,,
H-9,Наличие вторичных падежей,explicit_gap,,,,,
I-1,Способ выражения залоговых форм в глаголе,explicit_gap,,,,,
I-2,Возможность наложения нескольких залоговых форм,explicit_gap,,,,,
I-3,Двойные залоговые формы,explicit_gap,,,,,
I-4,Совпадение залоговых форм,explicit_gap,,,,,
I-5,Грамматические формы времени,explicit_gap,,,,,
I-6,Выражение вида и времени,explicit_gap,,,,,
I-7,Способ выражения временных категорий,explicit_gap,,,,,
I-8,Синкретическое выражение нескольких глагольных значений,explicit_gap,,,,,
I-9,Маркирование лица в глаголе в настоящем времени,explicit_gap,,,,,
I-10,Маркер переходности,explicit_gap,,,,,
J-1,Наличие местоименных слов,explicit_gap,,,,,
J-2,Способы выражения дейктических категорий,explicit_gap,,,,,
J-3,"Служебные части речи, выражающие пространственную ориентацию действия",explicit_gap,,,,,
J-4,"Знаменательные части речи, выражающие пространственную ориентацию действия",explicit_gap,,,,,
J-5,Морфологическое выражение определенности/неопределенности имени,explicit_gap,,,,,
J-6,"Части речи, выражающие определенность/неопределенность имени",explicit_gap,,,,,
J-7,Способы выражения форм вежливости,explicit_gap,,,,,
J-8,Способы выражения отрицания,explicit_gap,,,,,
J-9,Позиция показателя отрицания,explicit_gap,,,,,
K-1,Склонение личных местоимений,explicit_gap,,,,,
K-2,Типы артиклей,explicit_gap,,,,,
K-3,Неопределенный артикль и числительное «один»,explicit_gap,,,,,
K-4,Расположение артикля,explicit_gap,,,,,
K-5,Постановка артикля в именной группе,explicit_gap,,,,,
