ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Name_RU
afrikaans,Afrikaans,,-25.7256,28.2438,afri1274,afr,африкаанс
danish,Danish,,55.6869,12.5833,dani1285; juti1236,dan; jut,датский
dutch,Dutch,,52.3833,4.9,dutc1256,nld,нидерландский
english,English,,51.5,0,stan1293,eng,английский
faroese,Faroese,,62,-6.7833,faro1244,fao,фарерский
frisian,Frisian,,53.0333,6.3166,west2354; nort2626; sate1242,fry; frr; stq,фризский
german,German,,52.5166,13.3833,stan1295,deu,немецкий
gothic,Gothic,,44.4167,12.02,goth1244,got,готский
icelandic,Icelandic,,64.23,-21.8266,icel1247,isl,исландский
luxembourgian,Luxembourgian,,49.6071,6.1248,luxe1241,ltz,люксембургский
norwegian,Norwegian,,59.9333,10.6833,norw1258,nor,норвежский
swedish,Swedish,,60.0986,19.9444,swed1254,swe,шведский
swiss_german,Swiss German,,47.05,8.46,swis1247,gsw,швейцарско-немецкий
yiddish,Yiddish,,53.3571,25.2465,yidd1255,yid,идиш
old_persian,Old Persian,,29.6081,52.5247,oldp1254,peo,древнеперсидский
middle_persian,Middle Persian,,29.608,52.5247,pahl1241,pal,среднеперсидский
persian,Persian,,35.7,51.4166,west2369,fas; pes,персидский
tajik,Tajik,,38.5677,68.7936,taji1245,tgk,таджикский
dari,Dari,,31.8402,54.1625,dari1249,prs,дари
tati,Tati,,41.425062,46.645589,musl1236,ttt,татский
hazaragi,Hazaragi,,34.8166,67.8166,haza1239,haz,хазара
luri_bakhtiari_dialects,Luri and Bakhtiari,,33.46667,48.35,luri1252,,лурская и бахтиярская группа диалектов
larestani_dialects,Larestani,,27.64,54.63,lari1253,lrl,ларская группа диалектов
fars_dialects,Fars dialects,,29.61,52.5425,sout2645,fay,Фарса диалекты
kumzari,Kumzari,,26.16,56.42,kumz1235,zum,кумзари
kurdshuli,Kurdshuli,,30.6530865646752,52.672619742743,,,курдшули
bashkardi,Bashkardi,,32,53,bash1263,bsg,башкарди
davani,Davani,,29.7027407437594,51.6746663089569,dava1250,,давани
char_aymak,Char-aymak,,35.28,59.18,aima1241,aiq,чар-аймаки
abdui,Abdui,,29.599167,51.863056,,,абдуи
aftari,Aftari,,35.36,53.7,afta1234,,афтари
balochi,Balochi,,30.36,67.02,east2304; sout2642; west2368,bal,белуджский
biyabuneki,Biyabuneki,,35.53,53.29,biya1234,,биябунеки
farizandi,Farizandi,,33.46,51.95,fari1234,,фаризанди
gilaki,Gilaki,,37.2755,49.6028,gila1241,glk,гилянский
gurani,Gurani,,35.4259,46.2551,gura1251,hac,гурани
jawshakani,Jawshakani,,33.99,51.4,jows1234,,джавшакани
keshei,Keshei,,33.23,51.47,kesh1234,,кешеи
kohrudi,Kohrudi,,34.3805565276271,51.3433813172377,qohr1234,,кохруди
kurdish,Kurdish,,36.1833,44,kurd1259,kur,курдский
lasgerdi,Lasgerdi,,35.4,53,lasg1238,lsa,ласгерди
mazanderani,Mazanderani,,36.24,52.3,maza1291,mzn,мазандеранский
meimei,Meimei,,35.34,53.24,meym1234,,меймеи
sangesari,Sangesari,,35.72,53.3,sang1315,sgr,сангесари
semnani,Semnani,,35.5769,53.3953,semn1251,smy,семнанский
shamerzadi,Shamerzadi,,35.78,53.32,shah1253,srz,шамерзади
surkhei,Surkhei,,35.46,53.22,sork1240,,сурхеи
talysh,Talysh,,38.814,48.6804,taly1247,tly,талышский
velatru,Velatru,,36.0796613596055,51.3812756086621,vela1234,,велатру
yarandi,Yaran(d)i,,32.5765081139801,52.430019336531,yara1255,,яран(д)и
yazdi_and_kermani,Yazdi and Kermani,,30.3995581523314,57.1489882360503,jude1275,,йезди и кермани
zaza,Zaza,,39,41,zaza1246,zza,заза
abaza,Abaza,,44.1556,41.9368,abaz1241,abq,абазинский
abkhaz,Abkhaz,,43.133,40.8471,abkh1244,abk,абхазский
adyghe,Adyghe,,44.9181,39.7485,adyg1241,ady,адыгейский
agul,Aghul,,41.7518,47.6875,aghu1253,agx,агульский
akhvakh,Akhvakh,,42.472,46.3238,akhv1239,akv,ахвахский
andi,Andi,,42.7308,46.2963,andi1255,ani,андийский
avar,Avar,,42.4801,46.8017,avar1256,ava,аварский
bagvalal,Bagvalal,,42.5247,46.192,bagv1239,kva,багвалинский
bats,Bats,,42.0982,45.0878,bats1242,bbl,бацбийский
bezhta,Bezhta,,42.1369,46.1508,bezh1248,kap,бежтинский
botlikh,Botlikh,,42.6602,46.2222,botl1242,bph,ботлихский
chamalal,Chamalal,,42.5712,46.0739,cham1309,cji,чамалинский
chechen,Chechen,,43.3166,45.7,chec1245,che,чеченский
dargwa,Dargwa,,42.3205,47.5306,darg1241,dar,даргинский
georgian,Georgian,,41.7167,44.8,nucl1302,kat,грузинский
ginukh,Hinuq,,42.1801,45.977,hinu1240,gin,гинухский
godoberi,Godoberi,,42.5915,46.3376,ghod1238,gdo,годоберинский
hunzib,Hunzib,,42.1654,46.2991,hunz1247,huz,гунзибский
ingush,Ingush,,43.145,45.1043,ingu1240,inh,ингушский
kabardian,Kabardian,,43.7393,43.4289,kaba1278,kbd,кабардинский
karata,Karata,,42.5911,46.3374,kara1474,kpt,каратинский
khvarshi,Khvarshi,,42.3417,46.1212,khva1239,khv,хваршинский
lak,Lak,,42.0125,47.2521,lakk1252,lbe,лакский
laz,Laz,,41.2736,41.2646,lazz1240,lzz,лазский
lezgian,Lezgian,,41.4921,48.0541,lezg1247,lez,лезгинский
mingrelian,Mingrelian,,42.4599,41.7205,ming1252,xmf,мегрельский
rutul,Rutul,,41.5332,47.3181,rutu1240,rut,рутульский
svan,Svan,,42.9164,43.0114,svan1243,sva,сванский
tabasaran,Tabasaran,,41.8081,47.9882,taba1259,tab,табасаранский
tindi,Tindi,,42.466,46.1453,tind1238,tin,тиндинский
tsez,Tsez,,42.2376,45.8734,dido1241,ddo,цезский
ubykh,Ubykh,,43.5585,39.8597,ubyk1235,uby,убыхский
breton,Breton,,48.2246,-3.9331,bret1244,bre,бретонский
celtiberian,Celtiberian,,41.5,-1.0333,celt1247,xce,кельтиберский
cornish,Cornish,,50.4575,-4.746,corn1251,cor,корнский
gaulish,Gaulish,,39.34,32.84,tran1282; gala1252; cisa1237,xtg; xga; xcg,галльский
irish_gaelic,Irish Gaelic,,53.7876,-9.1845,iris1253,gle,ирландский
lepontic,Lepontic,,45.98,8.92,lepo1240,xlp,лепонтийский
manx,Manx,,54.2106,-4.5318,manx1243,glv,мэнкский
pictish,Pictish,,56.37,-3.9,pict1238,xpi,пиктский
scottish_gaelic,Scottish Gaelic,,55.95,-3.1988,scot1245,gla,шотландский
welsh,Welsh,,52.4459,-3.5485,wels1247,cym,валлийский
elamite,Elamite,,32.1892,48.2577,elam1244,elx,эламский
hattic,Hattic,,41.7269,36.0115,hatt1246,xht,хаттский
hurrian,Hurrian,,36.8,40.3,hurr1240,xhu,хурритский
sumerian,Sumerian,,31.3222,45.6361,sume1241,sux,шумерский
urartian,Urartian,,38.5027,43.1222,urar1245,xur,урартский
amharic,Amharic,,9.03,38.74,amha1245,amh,амхарский
argobba,Argobba,,10.6596,39.756,argo1244,agj,аргобба
chaha,Chaha,,8.1667,38.25,chah1248,sgw,чаха
gafat,Gafat,,10.6768,35.8264,gafa1240,gft,гафат
geez,Ge`ez,,14.1074,38.7879,geez1241,gez,геэз
harari,Harari,,9.3111,42.1278,hara1271,har,харари
tigre,Tigre,,15.3228,38.925,tigr1270,tig,тигре
tigrinya,Tigrinya,,13.4833,39.4666,tigr1271,tir,тигринья
zay,Zay,,8.0728,38.8476,zayy1238,zwa,зай
beng,Beng,,7.78122,-4.23539,beng1286,nhb,бен
boko,Boko,,9.35,2.6166,boko1266,bqc,боко
gban,Gban,,6.3057,-4.9768,gagu1242,ggu,гбан
goo,Goo,,7.58,-7.56,gooa1234,,гоо
