id,type,is_extinct,is_multiple,name_en,name_ru,custom_title_en,custom_title_ru,family_id,iso_639_3,glottocode,latitude,longitude,main_country_id,encyclopedia_volume_id,page,encyclopedia_map_id,has_feature_profile,comment
komi_permyak,language,0,0,Komi-Permyak,коми-пермяцкий,,,permic,koi,komi1269,59.204,54.5361,rus,1,229,,1,
komi_zyrian,language,0,0,Komi-Zyrian,коми-зырянский,,,permic,kpv,komi1268,61.6666,50.8166,rus,1,214,,1,
livonian,language,1,0,Livonian,ливский,,,finn,liv,livv1244,57.6101,22.2802,ltu,1,76,,1,
mansi,language,0,0,Mansi,мансийский,,,ob_ugric,mns,mans1258,58.6109,65.9375,rus,1,283,,1,
mari,language,0,0,Mari,марийский,,,mari,mhr,east2328,56.6333,47.8666,rus,1,148,,1,
moksha,language,0,0,Moksha,мокшанский,,,mordv,mdf,moks1248,54.1817,43.2751,rus,1,178,,1,
nenets,language,0,0,Nenets,ненецкий,,,north_samo,yrk,nene1249,67.6411,53.0447,rus,1,326,,1,
nganasan,language,0,0,Nganasan,нганасанский,,,north_samo,nio,ngan1291,72.816,91.582,rus,1,349,,1,
selkup,language,0,0,Selkup,селькупский,,,south_samo,sel,selk1253,65.7035,82.4441,rus,1,356,,1,
udmurt,language,0,0,Udmurt,удмуртский,,,permic,udm,udmu1245,56.8498,53.2184,rus,1,239,,1,
veps,language,0,0,Veps,вепсский,,,finn,vep,veps1250,60.3269,34.8046,rus,1,36,,1,
votic,language,0,0,Votic,водский,,,finn,vot,voti1245,59.5858,28.4518,rus,1,48,,1,
alabugat_tatar,language,0,0,Alabugat Tatar (Nogai),алабугатских татар (ногайцев),,,kipchak_nogai,,,43.8028,46.2744,rus,2,172,,1,
altai,language,0,0,Altai,алтайский,,,kyrg_kipchak,"atv, alt","nort2686, sout2694",51.95,85.9666,rus,2,179,,1,
astrakhan_karagash_nogai,language,0,0,Astrakhan Karagash Nogai,астраханских ногайцев-карагашей,,,kipchak_nogai,,,47.2643,47.2412,rus,2,187,,1,
azerbaijani,language,0,0,Azerbaijani,азербайджанский,,,oghuz_turk,aze,"nort2697, sout2697",40.3833,49.9833,aze,2,160,,1,
bashkir,language,0,0,Bashkir,башкирский,,,kipchak_bulgar,bak,bash1264,54.7333,55.9666,rus,2,206,,1,
bulgar,language,1,0,Bolgarian,булгарский,,,oghur,xbo,bolg1250,45.189,36.825,rus,2,47,,1,
chagatai,language,1,0,Chagatai,чагатайский,,,karluk,chg,chag1247,37.6,61.8333,tkm,2,148,,1,
chuvash,language,0,0,Chuvash,чувашский,,,oghur,chv,chuv1255,56.1333,47.25,rus,2,480,,1,
crimean_tatar,language,0,0,Crimean Tatar,крымскотатарский,,,kipchak_cuman,crh,crim1257,43.9414,28.3062,rou,2,298,,1,
dolgan,language,0,0,Dolgan,долганский,,,yakut_turk,dlg,dolg1241,71.3851,97.3388,rus,2,235,,1,
gagauz,language,0,0,Gagauz,гагаузский,,,oghuz_turk,gag,gaga1249,46.3003,28.6572,mda,2,224,,1,
karachay_balkar,language,0,0,Karachay-Balkar,карачаево-балкарский,,,kipchak_cuman,krc,kara1465,44.2137,42.8466,rus,2,272,,1,
karaim,language,0,0,Karaim,караимский,,,kipchak_cuman,kdr,kara1464,50.7538,25.3351,ukr,2,254,,1,
karakalpak,language,0,0,Kara-Kalpak,каракалпакский,,,kipchak_nogai,kaa,kara1467,42.45,59.6022,uzb,2,264,,1,
karakhanid_uighur,language,1,0,Karakhanid Uighur,караханидско-уйгурский,,,karluk,,,39.27,75.59,chn,2,64,,1,
kazakh,language,0,0,Kazakh,казахский,,,kipchak_nogai,kaz,kaza1248,51.1833,71.4,kaz,2,242,,1,
khakas,language,0,0,Khakas,хакасский,,,khak_turk,kjh,khak1248,53.7166,91.4166,rus,2,458,,1,
khwarezmian_turkic,language,1,0,Khwarezmian Turkic,хорезмско-тюркский,,,karluk,zkh,,47.161,47.5646,rus,2,139,,1,
kumyk,language,0,0,Kumyk,кумыкский,,,kipchak_cuman,kum,kumy1244,43.397,46.9775,rus,2,318,,1,
kyrgyz,language,0,0,Kirghiz,киргизский,,,kyrg_kipchak,kir,kirg1245,42.8666,74.5666,kgz,2,286,,1,
nogai,language,0,0,Nogai,ногайский,,,kipchak_nogai,nog,noga1249,43.8028,46.2744,rus,2,328,,1,
oghuz_x_xi,language,1,0,Oghuz of X-XI centuries,огузский X-XI веков,,,oghuz_turk,,,45.7666,62.1166,kaz,2,81,,1,
old_anatolian_turkic,language,1,0,Old Anatolian Turkic,староанатолийско-тюркский,,,oghuz_turk,,,41.01,29.9603,tur,2,116,,1,
